AC218988.3_FGP003_1_112	b7f566286716d1035373082f16b723b5	112	SUPERFAMILY	SSF74788		1	110	2.82E-19	T	07-08-2017	IPR016159	Cullin repeat-like-containing domain
AC218988.3_FGP003_1_112	b7f566286716d1035373082f16b723b5	112	Pfam	PF03081	Exo70 exocyst complex subunit	2	111	2.1E-21	T	07-08-2017	IPR004140	Exocyst complex component Exo70
Sobic.010G272200.1.p	8360d3cfd3372db5b908c3b205b6bd82	412	SUPERFAMILY	SSF74788		3	411	5.75E-46	T	07-08-2017	IPR016159	Cullin repeat-like-containing domain
Sobic.010G272200.1.p	8360d3cfd3372db5b908c3b205b6bd82	412	Pfam	PF03081	Exo70 exocyst complex subunit	85	408	9.3E-44	T	07-08-2017	IPR004140	Exocyst complex component Exo70
LOC_Os04g31330.1	70a53ac702ef24c67593e899732f3bdc	688	Pfam	PF03081	Exo70 exocyst complex subunit	303	673	1.6E-121	T	07-08-2017	IPR004140	Exocyst complex component Exo70
LOC_Os04g31330.1	70a53ac702ef24c67593e899732f3bdc	688	SUPERFAMILY	SSF74788		230	676	3.35E-152	T	07-08-2017	IPR016159	Cullin repeat-like-containing domain
LOC_Os04g31330.1	70a53ac702ef24c67593e899732f3bdc	688	SUPERFAMILY	SSF74788		94	184	3.35E-152	T	07-08-2017	IPR016159	Cullin repeat-like-containing domain
Seita.4G068100.1.p	e7b51d1c24d539d8b2a2222cf63f5a77	350	SUPERFAMILY	SSF74788		2	196	2.98E-45	T	07-08-2017	IPR016159	Cullin repeat-like-containing domain
Seita.4G068100.1.p	e7b51d1c24d539d8b2a2222cf63f5a77	350	SUPERFAMILY	SSF74788		230	349	2.98E-45	T	07-08-2017	IPR016159	Cullin repeat-like-containing domain
Seita.4G068100.1.p	e7b51d1c24d539d8b2a2222cf63f5a77	350	Pfam	PF03081	Exo70 exocyst complex subunit	1	346	8.7E-67	T	07-08-2017	IPR004140	Exocyst complex component Exo70
LOC_Os04g02070.1	0f691b3e40cb197629ebddd3f1ea2b8a	522	Pfam	PF03081	Exo70 exocyst complex subunit	189	480	5.3E-30	T	07-08-2017	IPR004140	Exocyst complex component Exo70
LOC_Os04g02070.1	0f691b3e40cb197629ebddd3f1ea2b8a	522	SUPERFAMILY	SSF74788		158	480	1.31E-31	T	07-08-2017	IPR016159	Cullin repeat-like-containing domain
LOC_Os05g30700.1	ec2d870a1261af640a908333d88232ab	373	Pfam	PF03081	Exo70 exocyst complex subunit	154	373	5.0E-30	T	07-08-2017	IPR004140	Exocyst complex component Exo70
LOC_Os05g30700.1	ec2d870a1261af640a908333d88232ab	373	SUPERFAMILY	SSF74788		93	372	9.42E-15	T	07-08-2017	IPR016159	Cullin repeat-like-containing domain
HORVU2Hr1G123350.22	09acfbd38056d953dd2e5e6a032fc581	484	Pfam	PF03081	Exo70 exocyst complex subunit	110	474	2.1E-109	T	07-08-2017	IPR004140	Exocyst complex component Exo70
HORVU2Hr1G123350.22	09acfbd38056d953dd2e5e6a032fc581	484	SUPERFAMILY	SSF74788		4	478	1.99E-124	T	07-08-2017	IPR016159	Cullin repeat-like-containing domain
GRMZM2G343437_P01	5d239d31ed55a75ab2401f57fa13249a	683	SUPERFAMILY	SSF74788		148	672	2.93E-129	T	07-08-2017	IPR016159	Cullin repeat-like-containing domain
GRMZM2G343437_P01	5d239d31ed55a75ab2401f57fa13249a	683	Pfam	PF03081	Exo70 exocyst complex subunit	307	669	2.8E-108	T	07-08-2017	IPR004140	Exocyst complex component Exo70
Oropetium_20150105_16002A	6ca25e903656b18455be4f6500d8b3a8	330	Pfam	PF03081	Exo70 exocyst complex subunit	211	328	1.3E-17	T	07-08-2017	IPR004140	Exocyst complex component Exo70
Oropetium_20150105_16002A	6ca25e903656b18455be4f6500d8b3a8	330	SUPERFAMILY	SSF74788		23	82	7.32E-30	T	07-08-2017	IPR016159	Cullin repeat-like-containing domain
Oropetium_20150105_16002A	6ca25e903656b18455be4f6500d8b3a8	330	SUPERFAMILY	SSF74788		135	328	7.32E-30	T	07-08-2017	IPR016159	Cullin repeat-like-containing domain
GRMZM2G003518_P01	38aea64b497b71c5a3f09af684dec34c	672	Pfam	PF03081	Exo70 exocyst complex subunit	305	663	5.1E-123	T	07-08-2017	IPR004140	Exocyst complex component Exo70
GRMZM2G003518_P01	38aea64b497b71c5a3f09af684dec34c	672	SUPERFAMILY	SSF74788		131	184	1.1E-145	T	07-08-2017	IPR016159	Cullin repeat-like-containing domain
GRMZM2G003518_P01	38aea64b497b71c5a3f09af684dec34c	672	SUPERFAMILY	SSF74788		231	666	1.1E-145	T	07-08-2017	IPR016159	Cullin repeat-like-containing domain
GRMZM2G165301_P01	5d62cfaba60ec90fc4f6836c40ccd566	601	SUPERFAMILY	SSF74788		76	593	7.85E-115	T	07-08-2017	IPR016159	Cullin repeat-like-containing domain
GRMZM2G165301_P01	5d62cfaba60ec90fc4f6836c40ccd566	601	Pfam	PF03081	Exo70 exocyst complex subunit	236	588	4.5E-100	T	07-08-2017	IPR004140	Exocyst complex component Exo70
